1	1753	24	26	101
2	1753	23	26	101
3	1753	23	26	101
4	1890	24	26	101
5	1753	23	26	101
6	1753	23	26	101
7	1890	24	26	101
8	1768	24	26	101
9	1753	23	26	101
10	2043	24	26	101
11	1753	23	26	101
12	1753	23	26	101
13	1753	23	26	101
14	1753	23	26	101
15	1768	23	26	101
16	1768	23	26	101
17	1890	24	26	101
18	1753	23	26	101
19	1753	23	26	101
20	1906	24	26	101
21	1753	23	26	101
22	1768	23	26	101
23	1768	23	26	101
24	1768	23	26	101
25	1768	23	26	101
26	1768	23	26	101
27	1768	23	26	101
28	1753	23	26	101
29	1753	24	26	101
30	1890	24	26	101
31	1753	23	26	101
32	1768	23	26	101
33	1906	24	26	101
34	1753	23	26	101
35	1768	23	26	101
36	1768	23	26	101
37	1753	23	26	101
38	1768	23	26	101
39	1768	23	26	101
40	1753	23	26	101
41	1753	23	26	101
42	1753	23	26	101
43	1875	24	26	101
44	1753	23	26	101
45	1768	23	26	101
46	1921	24	26	101
47	1768	23	26	101
48	1753	23	26	101
49	1753	23	26	101
50	1768	23	26	101
51	1753	23	26	101
52	1753	23	26	101
53	1768	23	26	101
54	1768	23	26	101
55	1768	23	26	101
56	1890	24	26	101
57	1753	23	26	101
58	1753	23	26	101
59	1921	24	26	101
60	1753	23	26	101
61	1768	23	26	101
62	1768	23	26	101
63	1753	23	26	101
64	1768	23	26	101
65	1753	23	26	101
66	1875	24	26	101
67	1753	23	26	101
68	1768	23	26	101
69	1875	24	26	101
70	1768	23	26	101
71	1768	23	26	101
72	1921	24	26	101
73	1768	23	26	101
74	1768	23	26	101
75	1753	23	26	101
76	1768	23	26	101
77	1753	23	26	101
78	1753	23	26	101
79	1890	24	26	101
80	1768	23	26	101
81	1753	23	26	101
82	1890	24	26	101
83	1768	23	26	101
84	1768	23	26	101
85	1937	24	26	101
86	1768	23	26	101
87	1768	23	26	101
88	1768	23	26	101
89	1768	23	26	101
90	1768	23	26	101
91	1768	23	26	101
92	1890	24	26	101
93	1768	23	26	101
94	1753	23	26	101
95	1890	24	26	101
96	1768	23	26	101
97	1768	23	26	101
98	1953	24	26	101
99	1768	23	26	101
100	1768	23	26	101
101	1768	23	26	101
102	1753	23	26	101
103	1768	23	26	101
104	1768	23	26	101
105	1906	24	26	101
106	1768	23	26	101
107	1768	23	26	101
108	1890	24	26	101
109	1784	23	26	101
110	1768	23	26	101
111	1984	25	26	101
112	1768	23	26	101
113	1768	23	26	101
114	1768	23	26	101
115	1768	23	26	101
116	1753	23	26	101
117	1768	23	26	101
118	1890	24	26	101
119	1768	23	26	101
120	1768	23	26	101
